,연도.월,시도,전월대비 증감 인구,전월대비 인구 증감률
0,2013.02,서울특별시,1370,0.01
1,2013.03,서울특별시,-4377,-0.04
2,2013.04,서울특별시,-6102,-0.06
3,2013.05,서울특별시,-4148,-0.04
4,2013.06,서울특별시,-5247,-0.05
5,2013.07,서울특별시,-4558,-0.04
6,2013.08,서울특별시,-3005,-0.03
7,2013.09,서울특별시,-2306,-0.02
8,2013.10,서울특별시,-4592,-0.05
9,2013.11,서울특별시,-7919,-0.08
10,2013.12,서울특별시,-10535,-0.1
11,2014.01,서울특별시,-481,-0.0
12,2014.02,서울특별시,1009,0.01
13,2014.03,서울특별시,-2446,-0.02
14,2014.04,서울특별시,-4414,-0.04
15,2014.05,서울특별시,-3579,-0.04
16,2014.06,서울특별시,-4511,-0.04
17,2014.07,서울특별시,-3311,-0.03
18,2014.08,서울특별시,-1669,-0.02
19,2014.09,서울특별시,-1582,-0.02
20,2014.10,서울특별시,-4752,-0.05
21,2014.11,서울특별시,-5753,-0.06
22,2014.12,서울특별시,-8923,-0.09
23,2015.01,서울특별시,1282,0.01
24,2015.02,서울특별시,691,0.01
25,2015.03,서울특별시,-4219,-0.04
26,2015.04,서울특별시,-6098,-0.06
27,2015.05,서울특별시,-6496,-0.06
28,2015.06,서울특별시,-9543,-0.09
29,2015.07,서울특별시,-7196,-0.07
30,2015.08,서울특별시,-8457,-0.08
31,2015.09,서울특별시,-8170,-0.08
32,2015.10,서울특별시,-10000,-0.1
33,2015.11,서울특별시,-9430,-0.09
34,2015.12,서울특별시,-13416,-0.13
35,2016.01,서울특별시,-3644,-0.04
36,2016.02,서울특별시,-4276,-0.04
37,2016.03,서울특별시,-4673,-0.05
38,2016.04,서울특별시,-6609,-0.07
39,2016.05,서울특별시,-7195,-0.07
40,2016.06,서울특별시,-5989,-0.06
41,2016.07,서울특별시,-8122,-0.08
42,2016.08,서울특별시,-10562,-0.11
43,2016.09,서울특별시,-6820,-0.07
44,2016.10,서울특별시,-9500,-0.1
45,2016.11,서울특별시,-11458,-0.12
46,2016.12,서울특별시,-12717,-0.13
47,2017.01,서울특별시,-138,-0.0
48,2017.02,서울특별시,934,0.01
49,2017.03,서울특별시,-4444,-0.04
50,2017.04,서울특별시,-4223,-0.04
51,2017.05,서울특별시,-3729,-0.04
52,2017.06,서울특별시,-4635,-0.05
53,2017.07,서울특별시,-5769,-0.06
54,2017.08,서울특별시,-6540,-0.07
55,2017.09,서울특별시,-10624,-0.11
56,2017.10,서울특별시,-8638,-0.09
57,2017.11,서울특별시,-12643,-0.13
58,2017.12,서울특별시,-12741,-0.13
59,2018.01,서울특별시,-5659,-0.06
60,2018.02,서울특별시,-6431,-0.07
61,2018.03,서울특별시,-6444,-0.07
62,2018.04,서울특별시,-8440,-0.09
63,2018.05,서울특별시,-9481,-0.1
64,2018.06,서울특별시,-6922,-0.07
65,2018.07,서울특별시,-7511,-0.08
66,2018.08,서울특별시,-7463,-0.08
67,2018.09,서울특별시,-6072,-0.06
68,2018.10,서울특별시,-8891,-0.09
69,2018.11,서울특별시,-10024,-0.1
70,2018.12,서울특별시,-8465,-0.09
71,2019.01,서울특별시,665,0.01
72,2019.02,서울특별시,4350,0.04
73,2019.03,서울특별시,-422,-0.0
74,2019.04,서울특별시,-3330,-0.03
75,2019.05,서울특별시,-4824,-0.05
76,2019.06,서울특별시,-4918,-0.05
77,2019.07,서울특별시,-5729,-0.06
78,2019.08,서울특별시,-6527,-0.07
79,2019.09,서울특별시,-4490,-0.05
80,2019.10,서울특별시,-4109,-0.04
81,2019.11,서울특별시,-3712,-0.04
82,2019.12,서울특별시,-3470,-0.04
83,2020.01,서울특별시,4402,0.05
84,2020.02,서울특별시,3453,0.04
85,2020.03,서울특별시,-3307,-0.03
86,2020.04,서울특별시,-6868,-0.07
87,2020.05,서울특별시,-2291,-0.02
88,2020.06,서울특별시,-3650,-0.04
89,2020.07,서울특별시,-5417,-0.06
90,2020.08,서울특별시,-7182,-0.07
91,2020.09,서울특별시,-9015,-0.09
92,2020.10,서울특별시,-10073,-0.1
93,2020.11,서울특별시,-9388,-0.1
94,2020.12,서울특별시,-11306,-0.12
95,2021.01,서울특별시,-10496,-0.11
96,2021.02,서울특별시,-9363,-0.1
97,2021.03,서울특별시,-50122,-0.52
98,2021.04,서울특별시,-9773,-0.1
99,2021.05,서울특별시,-13356,-0.14
100,2021.06,서울특별시,-9365,-0.1
101,2021.07,서울특별시,-7837,-0.08
102,2021.08,서울특별시,-7926,-0.08
103,2021.09,서울특별시,-7971,-0.08
104,2021.10,서울특별시,-9828,-0.1
105,2021.11,서울특별시,-11548,-0.12
106,2021.12,서울특별시,-11422,-0.12
107,2022.01,서울특별시,-3532,-0.04
108,2022.02,서울특별시,2525,0.03
109,2022.03,서울특별시,-1673,-0.02
110,2022.04,서울특별시,-6298,-0.07
111,2022.05,서울특별시,-3593,-0.04
112,2022.06,서울특별시,-2080,-0.02
113,2022.07,서울특별시,-1596,-0.02
114,2022.08,서울특별시,-4757,-0.05
115,2022.09,서울특별시,-37686,-0.4
116,2022.10,서울특별시,-7046,-0.07
117,2022.11,서울특별시,-6886,-0.07
118,2022.12,서울특별시,-8464,-0.09
119,2013.02,부산광역시,1264,0.04
120,2013.03,부산광역시,-1170,-0.03
