¿¬¿ùÀÏ,½ÃºÐÃÊ,¿Âµµ,½Àµµ,°­¼ö·®,Ç³Çâ
2024-04-21,15:55:49,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:55:52,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:55:56,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:55:59,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:02,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:05,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:09,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:12,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:15,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:19,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:22,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:25,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:28,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:32,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
2024-04-21,15:56:35,13¡É,½Àµµ94%,°­¼ö·®18.0mm,Ç³Çâ ºÏ 4.5 m/s
