순위,기사 제목,기사 작성일
1,‘우회전 일시정지’…22일부터 위반행위 본격 단속,정책뉴스 2023.04.21
2,소방·경찰 등 현장 공무원에게 최대 4일 심리안정 휴가를,정책뉴스 2023.04.20
3,"전쟁 폐허 속 혈맹으로 맺은 ‘한미동맹’, 70년 동맹역사의 시작은",정책뉴스 2023.04.21
4,청와대를 ‘K-관광 랜드마크’로…“내가 청와대 관광가이드다” 선포식,정책뉴스 2023.04.19
5,형형색색 꽃들이 반겨주는 전국 식물원 여행,정책뉴스 2023.04.21
6,"5월 ‘동행축제’, 30개 지역축제와 연계…대전서 개막식",정책뉴스 2023.04.21
7,유류세 인하 8월까지 4개월 연장…“국민 부담 완화”,정책뉴스 2023.04.18
8,"정부, 전세사기TF 첫 가동…“20일부터 즉시 경매 유예”",정책뉴스 2023.04.19
9,[김소통의 1분정책] 국내 여행 저렴하게 가는 꿀팁! 1분 안에 알려드립니다,영상 2023.04.19
10,공공기관 어학시험 비용 부담 낮춘다…성적 최대 5년간 인정,정책뉴스 2023.04.18
11,‘노벨상 펀드’ 한국 연구자 4명 선정…3년 동안 6만 달러 받는다,정책뉴스 2023.04.21
12,"윤 대통령 “4·19혁명은 대한민국의 헌법 정신…유공자들, 후세에 전할 것”",정책뉴스 2023.04.19
13,글로벌 제약사 한국 공장 증설…규제 55건 풀어 6000억 투자 지원,정책뉴스 2023.04.19
14,‘정전협정·한미동맹 70주년’ 계기 10대 영웅 선정…뉴욕 타임스퀘어에 송출,정책뉴스 2023.04.20
15,"‘마약범죄, 반드시 처벌’…검·경·관세 특별수사본부 840명 규모로 설치",정책뉴스 2023.04.18
16,‘슈퍼 乙’ 글로벌 소부장 기업 키운다…우주·방산·수소까지 확대,정책뉴스 2023.04.18
17,"‘6만 6000곳’ 농촌 빈집, 2027년까지 절반으로 줄인다",정책뉴스 2023.04.20
18,5월까지 음주운전 특별단속…어린이보호구역·화물차 집중점검,정책뉴스 2023.04.19
19,"농식품부, 식량난 6개국에 쌀 5만톤 지원…“식량위기 해소 기여”",정책뉴스 2023.04.21
20,연어 등 해양생태계 기후변화 지표종 23종 지정,정책뉴스 2023.04.21
21,24일부터 전세사기 피해자에 저금리 대환대출,정책뉴스 2023.04.21
22,프로스포츠 경기 할인·체력측정 즐긴다…23~29일 스포츠주간,정책뉴스 2023.04.20
23,2023 축제 찾아 K-여행 즐겨요!,정책뉴스 2023.04.20
24,낯설기에 더욱 치명적인 크로이츠펠트-야콥병!,영상 2023.04.18
25,채무가 많거나 신용이 낮아 은행 이용이 어려우신가요?,정책뉴스 2023.04.21
26,‘K-관광 여기 어때?’…4월 추천 지역축제,카드/한컷 2023.04.17
27,2026년까지 글로컬대학 30곳 지정…학교당 5년간 1000억원 지원,정책뉴스 2023.04.18
28,윤 대통령 “이차전지는 반도체와 함께 우리의 안보·전략 자산의 핵심”,정책뉴스 2023.04.20
29,‘오늘도 나는 지구를 구했다’…제15회 기후변화주간,정책뉴스 2023.04.20
30,야구장서 캔음료 살 때 일회용컵 제공 안한다…응원용품은 재사용,정책뉴스 2023.04.19
31,운전자·보호자·어린이 교통안전수칙! 함께 지켜요~,정책뉴스 2023.04.19
32,[대신 물어봐 드리는 아바타상담] 연말정산을 안했는데 세금을 더 내라고!? - 근로소득편,영상 2023.04.21
33,청와대를 K-관광 랜드마크로…테마별 도보 관광코스 10선,카드/한컷 2023.04.20
34,"‘원스톱 수출지원단’, 수출 애로 320건 해소…현장점검반 가동",정책뉴스 2023.04.21
35,엠폭스 예방 및 행동 수칙,정책뉴스 2023.04.18
36,4월의 독서 플레이리스트,카드/한컷 2023.04.20
37,"계도기간 끝, 교차로 우회전 방법 잘 알아두세요",국민이 말하는 정책 2023.04.21
38,"추 부총리 “중소기업, 올해 투자하면 최대 28% 세액공제”",정책뉴스 2023.04.21
39,"윤 대통령 “재정건전성 강화, 사회의 지속 가능성과 미래세대 위해 반드시 해내야”",정책뉴스 2023.04.18
40,긴급하게 가족을 돌봐야 할 상황이 발생했나요?,정책뉴스 2023.04.18
41,노조법상 회계서류 비치·보존 소명 거부 노조 현장조사 돌입,정책뉴스 2023.04.20
42,"4월은 과학의 달, 다양한 행사 함께 즐겨요!",국민이 말하는 정책 2023.04.18
43,우리 동네 아동안전지킴이집 찾아보기,국민이 말하는 정책 2023.04.19
44,CCTV 영상 AI로 분석해 차종·교통량 파악,정책뉴스 2023.04.18
45,"문체부, ‘악성 정보 전염병’ 가짜뉴스 퇴치 전면 강화…“신고센터 설치·AI 활용”",정책뉴스 2023.04.20
46,벤처·스타트업에 정책자금 10조 5000억 추가 투입,정책뉴스 2023.04.20
47,추 부총리 “일본과 공급망 이슈 공동 대응”,정책뉴스 2023.04.18
48,"주한 외국인, 한국 문화유산 탐방…‘오징어 게임’ 배우도 줄다리기를",정책뉴스 2023.04.21
49,"농식품부, 산불 피해 농업인에 영농활동 긴급 지원대책 추진",정책뉴스 2023.04.19
50,등산 중 긴급상황 발생하면 ‘스마트폰’으로 구조위치 알리세요,정책뉴스 2023.04.20
