지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
133,대전,2003-12-01,6.2,2.7,427,10.7,1502
133,대전,2003-12-02,6.5,2.4,426,11.8,1504
133,대전,2003-12-03,5.1,0,751,11.5,1435
133,대전,2003-12-04,2.9,-1.4,708,8.6,1409
133,대전,2003-12-05,5.4,1.7,37,8.8,1313
133,대전,2003-12-06,6.1,.7,2400,10.3,1250
133,대전,2003-12-07,-1.9,-3.7,2358,.9,1417
133,대전,2003-12-08,1.4,-3.9,9,6.6,1258
133,대전,2003-12-09,-1.2,-3.5,722,1.9,1409
133,대전,2003-12-10,-.1,-6.1,731,4.8,1403
133,대전,2003-12-11,3.2,.7,831,8.3,1439
133,대전,2003-12-12,1.9,-1.2,805,5.1,1209
133,대전,2003-12-13,1.6,-2.2,743,6.2,1413
133,대전,2003-12-14,3.7,-.7,739,8.3,1504
133,대전,2003-12-15,2.2,-2.1,2328,5,338
133,대전,2003-12-16,1.8,-5,719,7.5,1508
133,대전,2003-12-17,2.3,-1.2,2400,5.4,720
133,대전,2003-12-18,-.5,-3.2,638,2.1,1343
133,대전,2003-12-19,-2.4,-5.3,2346,.2,1438
133,대전,2003-12-20,-2.7,-6.5,624,2.2,1400
133,대전,2003-12-21,-.8,-7.6,800,5.6,1526
133,대전,2003-12-22,4.2,-1.3,653,10.9,1311
133,대전,2003-12-23,5.6,-1.2,738,11,1343
133,대전,2003-12-24,7.3,2.8,2345,11.9,1435
133,대전,2003-12-25,3.6,-.6,2353,7.5,1024
133,대전,2003-12-26,-.9,-2.7,817,1.9,1440
133,대전,2003-12-27,-1.4,-5.4,616,4.6,1607
133,대전,2003-12-28,1.4,-4.6,424,7.1,1401
133,대전,2003-12-29,6.5,1.8,2355,10.7,1440
133,대전,2003-12-30,1.4,-2.5,753,4.6,1524
133,대전,2003-12-31,4,1.3,349,7.6,1518
